Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2024-04-10 00:00:00-04:00,167.27765088979615,167.56502882108228,165.60289002910008,166.266845703125,49709300,0.0,0.0,AAPL
2024-04-11 00:00:00-04:00,166.8217782077108,173.87757491447604,166.64340884278624,173.4613494873047,91070300,0.0,0.0,AAPL
2024-04-12 00:00:00-04:00,172.68839280877705,176.7514221146486,172.63885584160187,174.95774841308594,101670900,0.0,0.0,AAPL
2024-04-15 00:00:00-04:00,173.7784557074799,175.03700600653332,170.94424900321735,171.13253784179688,73531800,0.0,0.0,AAPL
2024-04-16 00:00:00-04:00,170.20105330053957,172.19292044576096,166.75244230602124,167.85243225097656,73711200,0.0,0.0,AAPL
2024-04-17 00:00:00-04:00,168.08032842085646,169.11094225529814,166.48484802246094,166.48484802246094,50901200,0.0,0.0,AAPL
2024-04-18 00:00:00-04:00,166.5145852231191,167.11908441586118,165.04793714543356,165.53350830078125,43122900,0.0,0.0,AAPL
2024-04-19 00:00:00-04:00,164.7109957890585,164.89926951971245,162.6002009445124,163.51190185546875,68149400,0.0,0.0,AAPL
2024-04-22 00:00:00-04:00,164.0272084619306,165.75150603037284,163.28397258003716,164.3443145751953,48116400,0.0,0.0,AAPL
2024-04-23 00:00:00-04:00,163.85873621547074,165.54340111554177,163.4326064657252,165.39474487304688,49537800,0.0,0.0,AAPL
2024-04-24 00:00:00-04:00,165.0380369843625,167.77315534715606,164.71102642645795,167.4956817626953,48251800,0.0,0.0,AAPL
2024-04-25 00:00:00-04:00,168.0010494911784,169.07131105182287,166.63349053238153,168.35780334472656,50558300,0.0,0.0,AAPL
2024-04-26 00:00:00-04:00,168.34791858741355,169.79474290783526,167.65421953718817,167.7731475830078,44838400,0.0,0.0,AAPL
2024-04-29 00:00:00-04:00,171.80640930182136,174.44242297655094,171.53885525962073,171.93524169921875,68169400,0.0,0.0,AAPL
2024-04-30 00:00:00-04:00,171.76679778510277,173.41183044153803,168.46682810243752,168.79385375976562,65934800,0.0,0.0,AAPL
2024-05-01 00:00:00-04:00,168.05062115462775,171.15239765594947,167.58485870487095,167.7731475830078,50383100,0.0,0.0,AAPL
2024-05-02 00:00:00-04:00,170.95418315705703,171.85597979307556,169.34879824722077,171.46949768066406,94214900,0.0,0.0,AAPL
2024-05-03 00:00:00-04:00,184.9666328542693,185.31348231884328,181.01262758822543,181.72613525390625,163224100,0.0,0.0,AAPL
2024-05-06 00:00:00-04:00,180.70544017490002,182.53874644704828,178.79283846563771,180.0712127685547,78569700,0.0,0.0,AAPL
2024-05-07 00:00:00-04:00,181.79550770435065,183.23242749590466,179.68472791941784,180.75497436523438,77305800,0.0,0.0,AAPL
2024-05-08 00:00:00-04:00,181.20094275555934,181.4189598584749,179.813559816899,181.09193420410156,45057100,0.0,0.0,AAPL
2024-05-09 00:00:00-04:00,180.91352883975787,182.99459544718977,180.4675903156434,182.90541076660156,48983000,0.0,0.0,AAPL
2024-05-10 00:00:00-04:00,183.4809650708303,183.66950932429603,180.7322345449188,181.64517211914062,50759500,0.25,0.0,AAPL
2024-05-13 00:00:00-04:00,184.0167922414492,185.66405574980115,183.20307828852305,184.850341796875,72044800,0.0,0.0,AAPL
2024-05-14 00:00:00-04:00,186.0709344816443,186.8548800445926,184.8602962551219,185.99154663085938,52393600,0.0,0.0,AAPL
2024-05-15 00:00:00-04:00,186.46788560358823,189.18684774302332,185.9320213621053,188.2639923095703,70400000,0.0,0.0,AAPL
2024-05-16 00:00:00-04:00,189.0082265089993,189.6333963773736,188.20444533062346,188.383056640625,52845200,0.0,0.0,AAPL
2024-05-17 00:00:00-04:00,188.05555831413108,189.34558420614056,187.7280891548122,188.4127960205078,41282900,0.0,0.0,AAPL
2024-05-20 00:00:00-04:00,187.8769693298537,190.44708847543168,187.55941793463836,189.57383728027344,44361300,0.0,0.0,AAPL
2024-05-21 00:00:00-04:00,189.62343971650407,191.25085261805762,189.4547462309282,190.873779296875,42309400,0.0,0.0,AAPL
2024-05-22 00:00:00-04:00,190.79440205142186,191.3401840301744,188.8097513226368,189.43490600585938,34648500,0.0,0.0,AAPL
2024-05-23 00:00:00-04:00,189.51429520164533,189.5341459487459,185.19768892080702,185.44577026367188,51005900,0.0,0.0,AAPL
2024-05-24 00:00:00-04:00,187.37088671578107,189.11737394472448,186.59685898409072,188.52197265625,36327000,0.0,0.0,AAPL
2024-05-28 00:00:00-04:00,190.04024519822877,191.51881559867596,187.6487523245995,188.53192138671875,52280100,0.0,0.0,AAPL
2024-05-29 00:00:00-04:00,188.15481585355153,190.7745542503335,188.05557725890648,188.82958984375,53068000,0.0,0.0,AAPL
2024-05-30 00:00:00-04:00,189.29599865097472,190.70509898235173,189.16700663796175,189.82192993164062,49889100,0.0,0.0,AAPL
2024-05-31 00:00:00-04:00,189.9707550742459,191.09208749217237,188.45249859880175,190.7745361328125,75158300,0.0,0.0,AAPL
2024-06-03 00:00:00-04:00,191.41954585254337,193.49351725389894,191.04247253185534,192.54087829589844,50080500,0.0,0.0,AAPL
2024-06-04 00:00:00-04:00,193.14619663099631,193.82098571162214,191.54855228534223,192.85842895507812,47471400,0.0,0.0,AAPL
2024-06-05 00:00:00-04:00,193.90036613096368,195.38885414673365,193.3744349100596,194.36676025390625,54156800,0.0,0.0,AAPL
2024-06-06 00:00:00-04:00,194.1881317208236,194.99191275531385,192.67979309240934,192.98741149902344,41181800,0.0,0.0,AAPL
2024-06-07 00:00:00-04:00,193.1561527119216,195.42858658854308,192.65007215742114,195.37896728515625,53103900,0.0,0.0,AAPL
2024-06-10 00:00:00-04:00,195.3888517006261,195.7857909182053,190.6753063763642,191.6378631591797,97010200,0.0,0.0,AAPL
2024-06-11 00:00:00-04:00,192.1638175889916,205.57014412683193,192.14398198197847,205.56021118164062,172373300,0.0,0.0,AAPL
2024-06-12 00:00:00-04:00,205.77850209290926,218.51003809526938,205.3121079690946,211.4347686767578,198134300,0.0,0.0,AAPL
2024-06-13 00:00:00-04:00,213.09194207290335,215.08651049080893,209.97604121171418,212.5957794189453,97862700,0.0,0.0,AAPL
2024-06-14 00:00:00-04:00,212.20878551515116,213.5186471242216,209.67835280423736,210.85922241210938,70122700,0.0,0.0,AAPL
2024-06-17 00:00:00-04:00,211.73244926121387,217.2696263789355,211.08744385812574,215.0071258544922,93728300,0.0,0.0,AAPL
2024-06-18 00:00:00-04:00,215.92007781385274,216.95210469802018,211.36530791117931,212.64540100097656,79943300,0.0,0.0,AAPL
2024-06-20 00:00:00-04:00,212.28813739547695,212.59577094768608,207.2471383568116,208.0707550048828,86172500,0.0,0.0,AAPL
2024-06-21 00:00:00-04:00,208.77533580800622,210.26382387597764,205.5205097773767,205.89759826660156,241805100,0.0,0.0,AAPL
2024-06-24 00:00:00-04:00,206.12581247138846,211.0675882243761,205.00448003735443,206.54258728027344,80727000,0.0,0.0,AAPL
2024-06-25 00:00:00-04:00,207.54487259337077,209.75776936385003,207.00902348487315,207.4654998779297,55549700,0.0,0.0,AAPL
2024-06-26 00:00:00-04:00,209.87680350658064,213.21101716086312,209.02340313251779,211.61337280273438,66213200,0.0,0.0,AAPL
2024-06-27 00:00:00-04:00,213.04233172557286,214.0842763709762,210.7202940415425,212.4568634033203,49772700,0.0,0.0,AAPL
2024-06-28 00:00:00-04:00,214.1140398112984,214.41174043740799,208.68601906723538,209.00355529785156,82542700,0.0,0.0,AAPL
2024-07-01 00:00:00-04:00,210.46227761796723,215.84067914098924,210.29358412725625,215.08651733398438,60402900,0.0,0.0,AAPL
2024-07-02 00:00:00-04:00,214.4911377013164,218.68868521261126,213.44920810314017,218.57952880859375,58046200,0.0,0.0,AAPL
2024-07-03 00:00:00-04:00,218.31157833867707,219.8496856689453,217.34902153194005,219.8496856689453,37369800,0.0,0.0,AAPL
2024-07-05 00:00:00-04:00,219.94891212590596,224.71207692855523,219.94891212590596,224.60292053222656,60412400,0.0,0.0,AAPL
2024-07-08 00:00:00-04:00,225.34715532852172,226.1013322692385,221.53662969916704,226.07156372070312,59085900,0.0,0.0,AAPL
2024-07-09 00:00:00-04:00,226.18068283390414,227.63940213609902,224.63265789484376,226.9249267578125,48076100,0.0,0.0,AAPL
2024-07-10 00:00:00-04:00,227.5401755146131,231.2911636273001,227.49055622537713,231.19192504882812,62627700,0.0,0.0,AAPL
2024-07-11 00:00:00-04:00,229.61414576243664,230.6064710416972,224.0372825383305,225.82347106933594,64710600,0.0,0.0,AAPL
2024-07-12 00:00:00-04:00,227.16311346469493,230.8545649156238,226.92494993371525,228.7706756591797,53046500,0.0,0.0,AAPL
2024-07-15 00:00:00-04:00,234.66509753137677,235.409341553401,231.30111515749465,232.60105895996094,62631300,0.0,0.0,AAPL
2024-07-16 00:00:00-04:00,233.19644881294397,234.4567062015191,230.54694204130521,233.01783752441406,43234300,0.0,0.0,AAPL
2024-07-17 00:00:00-04:00,227.68904591405493,229.6836295353235,224.9006141352506,227.12342834472656,57345900,0.0,0.0,AAPL
2024-07-18 00:00:00-04:00,228.5126628842939,228.6714385621368,220.5641428905974,222.45947265625,66034600,0.0,0.0,AAPL
2024-07-19 00:00:00-04:00,223.09459660515446,225.0593965950336,221.56640705838353,222.5885009765625,49151500,0.0,0.0,AAPL
2024-07-22 00:00:00-04:00,225.26779139889447,226.03188622300922,221.3778775132773,222.2412109375,48201800,0.0,0.0,AAPL
2024-07-23 00:00:00-04:00,222.64803919770813,225.19832267550643,220.97100689389265,223.2831268310547,39960300,0.0,0.0,AAPL
2024-07-24 00:00:00-04:00,222.280880842846,223.0747441599071,215.46361045876344,216.86277770996094,61777600,0.0,0.0,AAPL
2024-07-25 00:00:00-04:00,217.24979770728694,219.15507584516317,212.97287755450526,215.82086181640625,51391200,0.0,0.0,AAPL
2024-07-26 00:00:00-04:00,217.02154248476683,217.80548795978973,214.35218497553956,216.2872314453125,41601300,0.0,0.0,AAPL
2024-07-29 00:00:00-04:00,215.29491873308154,217.61695646267233,214.0941983741811,216.56509399414062,36311800,0.0,0.0,AAPL
